tt0481444,Extreme Homes,1999,2002,\N,Reality-TV,6.3,18
tt0965939,Cucina Amore,1994,1998,\N,Reality-TV,6.3,7
tt0123357,The People's Court,1997,\N,60,Crime/Reality-TV,6.2,731
tt0190934,World's Most Amazing Videos,1999,\N,45,Reality-TV,6.2,198
tt0195498,A Taste of Life,1997,\N,30,Reality-TV,6.2,6
tt0282299,Fugitivos,2000,\N,\N,Game-Show/Reality-TV,6.2,5
tt0369154,Changing Rooms,2000,\N,27,Reality-TV,6.2,6
tt0385407,E! Fashion Emergency,1999,\N,\N,Reality-TV,6.2,8
tt0460585,Totally Nude Aerobics,1997,\N,120,Music/Reality-TV,6.2,187
tt0098750,Big Break,1990,\N,60,Game-Show/Music/Reality-TV,6.1,8
tt0185790,Better Homes and Gardens,1996,\N,46,Documentary/Reality-TV,6.1,51
tt0256552,G String Divas,2000,\N,30,Reality-TV,6.1,72
tt0270803,Shipwrecked,2000,\N,\N,Reality-TV,6.1,49
tt0278190,Expedition Robinson,1999,\N,\N,Adventure/Game-Show/Reality-TV,6.1,8
tt0292870,Wild On...,1997,\N,60,Reality-TV,6.1,126
tt0303951,Eco-Challenge Utah,1995,\N,50,Adventure/Reality-TV,6.1,7
tt0369106,Extra! Extra!,1999,\N,\N,Reality-TV,6.1,8
tt0370145,Greece Uncovered,1998,\N,\N,Reality-TV,6.1,23
tt0101038,American Detective,1991,1993,30,Crime/Reality-TV,6,16
tt0115227,Judge Judy,1996,2021,30,Crime/Reality-TV,6,3661
tt0175918,Mirror/ Mirror...,1996,\N,10,Comedy/Reality-TV/Short,6,11
tt0178146,Judge Mills Lane,1998,\N,\N,Reality-TV,6,27
tt0216234,Sports Illustrated: The 1993 Swimsuit Video,1993,\N,58,Reality-TV,6,26
tt0793125,North East Brazil,1994,\N,\N,Adventure/Reality-TV,6,6
tt0101033,The Adventures of Mark & Brian,1991,1992,30,Comedy/Reality-TV,5.9,25
tt0163176,The Real World Reunion,1995,\N,75,Reality-TV,5.9,77
tt0219453,Say What? Karaoke,1999,\N,30,Music/Reality-TV,5.9,46
tt0234894,Time Out with Britney Spears,1999,\N,53,Reality-TV,5.9,271
tt0261406,When Changing Rooms Met Ground Force,1999,\N,\N,Reality-TV,5.9,43
tt0274914,Survivor: The Reunion,2000,\N,43,Adventure/Game-Show/Reality-TV,5.9,209
tt0278249,Trading Spaces,2000,\N,60,Reality-TV,5.9,696
tt0281500,Treasure Island,1997,\N,30,Family/Game-Show/Reality-TV,5.9,30
tt0346225,Cero en conducta,1998,2003,30,Comedy/Reality-TV,5.9,52
tt0154059,Candid Camera,1998,\N,30,Comedy/Reality-TV,5.8,102
tt0211872,StreetMate,1998,\N,\N,Reality-TV,5.8,24
tt0213351,Just Kidding!,1992,1996,\N,Comedy/Reality-TV,5.8,25
tt0218748,Blind Date,1999,2006,30,Comedy/Reality-TV/Romance,5.8,349
